Code,Area,Any neurotic disorder,All phobias,Depressive episode,Generalised anxiety disorder,Mixed anxiety depression,Obsessive compulsive disorder,Panic disorder,Any neurotic disorder,All phobias,Depressive episode,Generalised anxiety disorder,Mixed anxiety depression,Obsessive compulsive disorder,Panic disorder,Population 16-74
,,,,,,,,,,,,,,,,
00AA,City of London,190.579562,22.04153652,39.51676385,60.43899299,84.44227615,15.94041128,9.378189461,1240.29179,143.4463197,257.1750991,393.3369664,549.5503332,103.7401966,61.03325701,6508
00AB,Barking and Dagenham,177.5067457,21.3014912,34.4118678,51.14514535,82.61138043,15.21502738,8.190181237,20417.0034,2450.118819,3958.087446,5882.765764,9502.043588,1750.047665,942.042836,115021
00AC,Barnet,167.3519479,19.96991959,32.48356349,49.00855138,77.42383575,14.09304623,7.861959606,39761.31665,4744.673164,7717.802333,11643.99073,18395.20656,3348.380946,1867.930845,237591
00AD,Bexley,155.6290202,18.45698991,30.42811508,45.88002823,71.74389556,13.04158018,7.289879732,24735.05396,2933.480149,4836.122899,7291.988167,11402.68778,2072.776587,1158.624325,158936
00AE,Brent,182.3350683,21.76055936,35.19583064,52.99570353,84.44819376,15.50913054,8.47520179,37682.82389,4497.211281,7273.851927,10952.51606,17452.73931,3205.240991,1751.553004,206668
00AF,Bromley,157.6856309,18.74240761,30.98094493,47.16233249,72.36942535,13.12300644,7.429396579,33613.37287,3995.262803,6604.115089,10053.45293,15426.77329,2797.391915,1583.702181,213167
00AG,Camden,206.3209621,24.69839134,39.25803127,58.47542032,96.97003519,17.82330639,9.538314631,36676.85214,4390.534236,6978.743187,10394.94157,17237.97528,3168.377884,1695.588039,177766
00AH,Croydon,172.4400348,20.71816424,33.73362415,50.9036606,79.45024629,14.57585969,8.030370988,42244.53217,5075.556594,8264.096977,12470.42968,19463.80079,3570.808684,1967.288315,244981
00AJ,Ealing,174.3888238,20.80994831,34.02933749,51.71093517,80.04405597,14.74785675,8.221458783,40484.19105,4831.00869,7899.87667,12004.64189,18582.14755,3423.700197,1908.603435,232149
00AK,Enfield,170.6748569,20.3698174,33.35721276,50.36148428,78.6911658,14.44976697,7.922532006,35266.03365,4208.954259,6892.500801,10406.04241,16259.71952,2985.712,1637.009021,206627
00AL,Greenwich,189.8463151,22.79231252,36.73690186,54.85960879,88.31869256,16.2099003,8.784545325,30791.74339,3696.753544,5958.468323,8897.844529,14324.6737,2629.132359,1424.79176,162193
00AM,Hackney,212.6560824,25.92035699,40.63510489,61.08723237,99.63924032,18.15554948,9.687379009,32370.50886,3945.596741,6185.475666,9298.698512,15167.08516,2763.637742,1474.612833,152220
00AN,Hammersmith and Fulham,205.6550883,24.74952088,39.24001662,59.57838737,95.94579704,17.44550595,9.625974432,27798.80959,3345.442236,5304.151527,8053.329777,12969.18528,2358.14393,1301.162216,135172
00AP,Haringey,200.9220732,24.2349651,38.84484319,58.68319442,93.00262941,17.13874272,9.285303827,34485.66188,4159.616704,6667.21235,10072.20744,15962.6923,2941.642383,1593.701693,171637
